dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,10.0,193.7884500026703,1333,0.6999473327380813,0.6829739118901801,4.643596266238575,1.576212057806999
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,10.0,216.32116866111755,1333,0.7175045246545831,0.667750357883878,5.33102811755205,1.6122566365829984
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,1.0,246.98505806922913,1333,0.7017399473145769,0.6596193738989881,5.159955168659031,1.5825897108200415
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,64,0.1,273.2425904273987,1333,1.2286500931167406,0.8928568167716039,6.725557692680385,1.8833627294654285
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,64,0.01,284.05613350868225,1333,1.0132625466806953,0.7812732426046198,6.28175001796271,1.7784366408671166
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,0.01,319.78928780555725,1333,0.8716853240661349,0.7213001302610395,5.796908110932677,1.689941083780169
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,10.0,344.61481404304504,1333,0.7169106725844208,0.6594583047545408,4.854175813416159,1.5115805794010548
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,64,1.0,409.65282440185547,1333,1.2990588970774364,0.9108931331173378,7.223394142169168,1.9371862387221201
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,10.0,427.38726329803467,1333,1.228394842552873,0.8567704454717452,7.077374505048911,1.932112042177187
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,64,1.0,38.453505516052246,1333,0.7489360781079529,0.6631919102772732,5.619014723124311,1.6249879570894272
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,10.0,83.1460919380188,1333,0.739353559169167,0.6563946760580119,4.9331297209278135,1.49576518221267
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,1.0,45.67410755157471,1333,0.9720037889167357,0.7526926402675008,7.773917674373425,2.004703995506421
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,64,0.1,75.10730624198914,1333,0.7802473330935005,0.7021302449539147,5.644726668660569,1.684535793397077
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,0.01,108.22557783126831,1333,0.7107618708834234,0.6651173733791802,5.2455349901619295,1.5939547907390905
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,64,10.0,53.92271280288696,1333,0.8003136915491362,0.6873760362795002,6.336018714364713,1.730902636020566
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,0.1,68.72463059425354,1333,0.7463975852736228,0.6689798228408217,5.663925559589872,1.6281014722912917
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,0.01,205.88500380516052,1333,1.205063536248689,0.8707926794667168,7.67401223955732,1.9905468158953188
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,1.0,211.04845118522644,1333,1.0305139828559167,0.7682953186182149,6.852374511163491,1.8168947235052937
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,0.01,146.30456042289734,1333,0.9396248782188499,0.7764867831460995,6.2312041239716836,1.7844679410349642
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,10.0,222.43807721138,1333,0.9020664136840237,0.7536165832678031,6.345239687187435,1.796268747338157
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,0.1,253.92987704277039,1333,0.8029513465050555,0.6866436736107198,5.60279598651916,1.636635831656181
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,1.0,267.7207190990448,1333,0.7069440201519426,0.6588782294930083,5.133734336166127,1.5695724852213229
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,1.0,211.9516818523407,1333,0.7240789640153894,0.66747324223104,4.153787361550438,1.4142670248395803
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,0.01,229.553781747818,1333,1.1051823728065366,0.8197324709515376,7.714077039786482,1.994711129172177
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,0.1,251.5985984802246,1333,0.6919125535151305,0.6556874731494436,4.801848976820006,1.5161165656931783
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,1.0,192.46096086502075,1333,0.7430853515096849,0.6753713659226752,5.498340648793243,1.6019203674863032
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,1.0,267.56861209869385,1333,0.8082796269656837,0.6881714368869372,6.087647977711934,1.6831671265136896
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,64,0.1,319.7392942905426,1333,0.7093276781460474,0.6648658657578194,5.015859244132408,1.5469297293000088
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,64,0.1,432.76635575294495,1333,0.8162224539267463,0.7365573567309167,5.65124127766633,1.7236526023970637
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,32,10.0,389.4637267589569,1333,1.0446558754669357,0.8072066732372734,6.657209165110453,1.8432901175303775
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,64,10.0,484.9902763366699,1333,1.1220588792957962,0.8529323566302239,6.766694363328186,1.8984306158620718
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,10.0,519.2889025211334,1333,0.7141083218032392,0.6743354653664984,4.9148859523455375,1.5450340208563602
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,64,0.01,546.516316652298,1333,1.0666715744737327,0.7995758281566852,6.557259835639096,1.7779800554324823
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,32,0.1,510.8222932815552,1333,0.7639665085803903,0.6924919665703986,5.3506837247575065,1.6248879736102182
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,64,1.0,687.7502572536469,1333,1.009860192885015,0.7891301970929963,6.412019272380963,1.7764948961771285
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.0001,32,0.1,732.9154531955719,1333,0.8892171609785178,0.7265658835305905,6.478459074620992,1.8130254727372694
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,0.01,641.14746260643,1333,0.7470237770234472,0.6612853200411348,5.969186802298081,1.6627716873578064
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,64,0.1,63.06559729576111,1333,0.7398351304656257,0.6553617011908823,4.5780529706249435,1.4141907735725645
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,0.1,62.770723819732666,1333,0.7403214096248716,0.674495361767455,5.330758385217854,1.6036532399461088
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,1.0,98.11411213874817,1333,0.9366747387250942,0.7249270339040855,6.514529569012293,1.7543410014404581
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,1.0,52.936110734939575,1333,0.7012476912838924,0.6608106776743304,4.841621949459821,1.5314041494491617
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,64,0.01,79.82586932182312,1333,0.6969927728626045,0.6568060766390243,4.784973889435431,1.5376981999868637
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,32,0.01,15.158479928970337,1333,0.9583764176042614,0.7533103432839808,7.016161942253867,1.8451164024592186
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.01,64,1.0,41.4132866859436,1333,0.9642498635462097,0.7490183246650178,7.448069028450733,1.9478750822503876
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,5,512,24,0,0,0.001,32,10.0,232.7731716632843,1333,0.7142794319255978,0.6679764183434679,4.842173221939502,1.5591790905574523
